LIBID,stop_short_name,stop_full_name,stop_type,address_number,address_street_dir_prefix,address_street,address_street_suffix,address_street_dir_suffix,address_street_unit,address_street_number,address_street_number_no_unit,address_city,address_state,address_zip,address_zip4,address_zip9,address_full,address_full_no_unit,address_country,county,latitude,longitude,pluscode,current_delivery_sys,weekly_delivery_frequency,service_time_mins,avg_pickup,avg_dropoff,address_verified_01,address_verified_02,geoloc_verified,redundant_address,dpi_LS_ID,dpi_LIBID,dpi_FSCSKEY,dpi_LibraryName,dpi_County,dpi_System,dpi_StreetAddress,dpi_StreetCity,dpi_StreetState,dpi_StreetZIP,dpi_StreetZIP+4
WI0001,Abbotsford PL,Abbotsford Public Library,public_library,203,,First,St,,,203 First St,203 First St,Abbotsford,WI,54405,506,54405-506,"203 First St, Abbotsford, WI 54405","203 First St, Abbotsford, WI 54405",US,Clark,,,,Wisconsin Valley Library Service,,,,,TRUE,TRUE,,FALSE,14025,WI0001,WI0001,Abbotsford Public Library,Clark,Wisconsin Valley Library Service,203 First St.,Abbotsford,WI,54405,506
ACAD0010,Alverno College,Alverno College,private_academic,3401,S,39th,St,,,3401 S 39th St,3401 S 39th St,Milwaukee,WI,53234,3922,53234-3922,"3401 S 39th St, Milwaukee, WI 53234","3401 S 39th St, Milwaukee, WI 53234",US,Milwaukee,,,,SWITCH,,,,,TRUE,TRUE,,FALSE,,,,,,,,,,,
WI0027,Berlin PL,Berlin Public Library,public_library,121,W,Park,Ave,,,121 W Park Ave,121 W Park Ave,Berlin,WI,54923,1526,54923-1526,"121 W Park Ave, Berlin, WI 54923","121 W Park Ave, Berlin, WI 54923",US,Green Lake,,,,Winnefox Library System,,,,,TRUE,TRUE,,FALSE,14051,WI0027,WI0027,Berlin Public Library,Green Lake,Winnefox Library System,121 W. Park Ave.,Berlin,WI,54923,1526
WI0028,Big Bend PL,Big Bend Village Library,public_library,W230S9185,,Nevins,St,,,W230S9185 Nevins St,W230S9185 Nevins St,Big Bend,WI,53103,40,53103-40,"W230S9185 Nevins St, Big Bend, WI 53103","W230S9185 Nevins St, Big Bend, WI 53103",US,Waukesha,,,,Bridges Library System,,,,,TRUE,TRUE,,FALSE,14052,WI0028,WI0028,Big Bend Village Library,Waukesha,Bridges Library System,W230 S9185 Nevins St.,Big Bend,WI,53103,40
WI0056,Centuria PL,Centuria Public Library,public_library,409,,4th,St,,,409 4th St,409 4th St,Centuria,WI,54824,370,54824-370,"409 4th St, Centuria, WI 54824","409 4th St, Centuria, WI 54824",US,Polk,,,,IFLS Library System,,,,,TRUE,TRUE,,FALSE,14076,WI0056,WI0056,Centuria Public Library,Polk,IFLS Library System,409 4th St.,Centuria,WI,54824,370
SCH013,Cashton HS,Cashton High School,school,540,,Coe,St,,,540 Coe St,540 Coe St,Cashton,WI,54619,,54619,"540 Coe St, Cashton, WI 54619","540 Coe St, Cashton, WI 54619",US,Monroe,,,,Winding Rivers,,,,,TRUE,TRUE,,FALSE,,,,,,,,,,,
WI0071,Cudahy PL,Cudahy Family Library,public_library,3500,,Library,Dr,,,3500 Library Dr,3500 Library Dr,Cudahy,WI,53110,1615,53110-1615,"3500 Library Dr, Cudahy, WI 53110","3500 Library Dr, Cudahy, WI 53110",US,Milwaukee,,,,Milwaukee County Federated Library System,,,,,TRUE,TRUE,,FALSE,14091,WI0071,WI0071,Cudahy Family Library,Milwaukee,Milwaukee County Federated Library System,3500 Library Dr.,Cudahy,WI,53110,1615
WI0085,Drummond PL,Drummond Public Library,public_library,14990,,Superior,St,,,14990 Superior St,14990 Superior St,Drummond,WI,54832,23,54832-23,"14990 Superior St, Drummond, WI 54832","14990 Superior St, Drummond, WI 54832",US,Bayfield,,,,Northern Waters Library Service,,,,,TRUE,TRUE,,FALSE,14101,WI0085,WI0085,Drummond Public Library,Bayfield,Northern Waters Library Service,14990 Superior St.,Drummond,WI,54832,23
WI0086,Durand PL,Durand Community Library,public_library,604,,7th,Ave,E,,604 7th Ave E,604 7th Ave E,Durand,WI,54736,1365,54736-1365,"604 7th Ave E, Durand, WI 54736","604 7th Ave E, Durand, WI 54736",US,Pepin,,,,IFLS Library System,,,,,TRUE,TRUE,,FALSE,14102,WI0086,WI0086,Durand Community Library,Pepin,IFLS Library System,604 7th Ave. E.,Durand,WI,54736,1365
WI0341-004,Edgar Branch - MarathonCo,Edgar Branch,public_library,224,S,Third,Ave,,,224 S Third Ave,224 S Third Ave,Edgar,WI,54426,228,54426-228,"224 S Third Ave, Edgar, WI 54426","224 S Third Ave, Edgar, WI 54426",US,Marathon,,,,Wisconsin Valley Library Service,,,,,TRUE,TRUE,,FALSE,14334,WI0341-004,WI0341,Edgar Branch,Marathon,Wisconsin Valley Library Service,224 S. Third Ave.,Edgar,WI,54426,228
