LIBID,stop_short_name,stop_full_name,stop_type,address_number,address_street_dir_prefix,address_street,address_street_suffix,address_street_dir_suffix,address_street_unit,address_city,address_state,address_zip,address_country,county,latitude,longitude,pluscode,current_delivery_sys,current_delivery_sys_code,service_time_mins,m_do,m_pu,t_do,t_pu,w_do,w_pu,r_do,r_pu,f_do,f_pu,s_do,s_pu,avg_pickup,avg_dropoff,volume_data_missing,redundant_address,address_verified_01,address_verified_02,geoloc_verified_01,ideal_regional_hub,starter_regional_hub
WI1100,Arrowhead LS,Arrowhead Library System,library_system,430,E,High,St,,Ste 200,Milton,WI,53563,US,Rock,,,,Arrowhead Library System,ALS,7,4,2,,,5,4,2,2,2,1,,,3,4,FALSE,TRUE,TRUE,TRUE,TRUE,,
ACAD0020,Beloit College,Beloit College,private_academic,731,,College,St,,,Beloit,WI,53511,US,Rock,,,,Arrowhead Library System,ALS,7,1,1,1,1,,,1,1,1,1,,,1,1,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0025,Beloit PL,Beloit Public Library,public_library,605,,Eclipse,Blvd,,,Beloit,WI,53511,US,Rock,,,,Arrowhead Library System,ALS,7,6,11,6,6,5,6,5,5,4,4,,,7,6,FALSE,FALSE,TRUE,TRUE,TRUE,,
SCH012,Beloit SD,Beloit School District,school,1500,,Fourth,St,,,Beloit,WI,53511,US,Rock,,,"GX96+GM Beloit, Wisconsin",Arrowhead Library System,ALS,7,1,1,,,,,,,,,,,1,1,TRUE,FALSE,FALSE,TRUE,TRUE,,
WITC110,Blackhawk TC,Blackhawk Technical College,wi_tech_college,6004,S,County Road G,,,,Janesville,WI,53546,US,Rock,,,,Arrowhead Library System,ALS,7,1,1,,,,,,,,,,,1,1,TRUE,FALSE,TRUE,TRUE,TRUE,,
WI0061,Clinton PL,Clinton Public Library,public_library,214,,Mill,St,,,Clinton,WI,53525,US,Rock,,,,Arrowhead Library System,ALS,7,2,3,2,2,2,2,2,2,1,2,,,3,2,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0091,Edgerton PL,Edgerton Public Library,public_library,101,,Albion,St,,,Edgerton,WI,53534,US,Rock,,,,Arrowhead Library System,ALS,7,3,7,3,4,3,3,3,3,3,4,,,5,3,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0099,Evansville PL,Eager Free Public Library,public_library,39,W,Main,St,,,Evansville,WI,53536,US,Rock,,,,Arrowhead Library System,ALS,7,3,4,3,3,3,2,3,2,2,3,,,3,3,FALSE,FALSE,TRUE,TRUE,TRUE,,
SCH015,Evansville SD,Evansville Community School District,school,340,,Fair,St,,,Evansville,WI,53536,US,Rock,,,"QMFR+6W Evansville, Wisconsin",Arrowhead Library System,ALS,7,1,1,,,,,,,,,,,1,1,TRUE,FALSE,FALSE,TRUE,TRUE,,
WI0142,Janesville PL,Hedberg Public Library,public_library,316,S,Main,St,,,Janesville,WI,53545,US,Rock,,,,Arrowhead Library System,ALS,7,18,17,9,11,9,12,9,11,9,8,,,12,11,FALSE,FALSE,TRUE,TRUE,TRUE,,
