LIBID,stop_short_name,stop_full_name,stop_type,address_number,address_street_dir_prefix,address_street,address_street_suffix,address_street_dir_suffix,address_street_unit,address_city,address_state,address_zip,address_country,county,latitude,longitude,pluscode,current_delivery_sys,current_delivery_sys_code,service_time_mins,m_do,m_pu,t_do,t_pu,w_do,w_pu,r_do,r_pu,f_do,f_pu,s_do,s_pu,avg_pickup,avg_dropoff,volume_data_missing,redundant_address,address_verified_01,address_verified_02,geoloc_verified_01,ideal_regional_hub,starter_regional_hub,geo_coords,ideal_proposal_region,starter_proposal_region
WI1100,Arrowhead LS,Arrowhead Library System,library_system,430,E,High,St,,Ste 200,Milton,WI,53563,US,Rock,42.7735095,-88.94400519999999,,Arrowhead Library System,ALS,7,4,2,,,5,4,2,2,2,1,,,3,4,FALSE,TRUE,TRUE,TRUE,TRUE,,,"(42.7735095, -88.94400519999999)",ideal_region_06,starter_region_08
ACAD0020,Beloit College,Beloit College,private_academic,731,,College,St,,,Beloit,WI,53511,US,Rock,42.503977,-89.029502,,Arrowhead Library System,ALS,7,1,1,1,1,,,1,1,1,1,,,1,1,FALSE,FALSE,TRUE,TRUE,TRUE,,,"(42.503977, -89.029502)",ideal_region_06,starter_region_08
WI0025,Beloit PL,Beloit Public Library,public_library,605,,Eclipse,Blvd,,,Beloit,WI,53511,US,Rock,42.5194485,-89.0312247,,Arrowhead Library System,ALS,7,6,11,6,6,5,6,5,5,4,4,,,7,6,FALSE,FALSE,TRUE,TRUE,TRUE,,,"(42.5194485, -89.0312247)",ideal_region_06,starter_region_08
SCH012,Beloit SD,Beloit School District,school,1500,,Fourth,St,,,Beloit,WI,53511,US,Rock,42.5188125,-89.03831249999999,"GX96+GM Beloit, Wisconsin",Arrowhead Library System,ALS,7,1,1,,,,,,,,,,,1,1,TRUE,FALSE,FALSE,TRUE,TRUE,,,"(42.5188125, -89.03831249999999)",ideal_region_06,starter_region_08
WITC110,Blackhawk TC,Blackhawk Technical College,wi_tech_college,6004,S,County Road G,,,,Janesville,WI,53546,US,Rock,42.59268369999999,-89.01494579999999,,Arrowhead Library System,ALS,7,1,1,,,,,,,,,,,1,1,TRUE,FALSE,TRUE,TRUE,TRUE,,,"(42.59268369999999, -89.01494579999999)",ideal_region_06,starter_region_08
WI0061,Clinton PL,Clinton Public Library,public_library,214,,Mill,St,,,Clinton,WI,53525,US,Rock,42.5551471,-88.8618245,,Arrowhead Library System,ALS,7,2,3,2,2,2,2,2,2,1,2,,,3,2,FALSE,FALSE,TRUE,TRUE,TRUE,,,"(42.5551471, -88.8618245)",ideal_region_06,starter_region_08
WI0091,Edgerton PL,Edgerton Public Library,public_library,101,,Albion,St,,,Edgerton,WI,53534,US,Rock,42.8364653,-89.07155809999999,,Arrowhead Library System,ALS,7,3,7,3,4,3,3,3,3,3,4,,,5,3,FALSE,FALSE,TRUE,TRUE,TRUE,,,"(42.8364653, -89.07155809999999)",ideal_region_06,starter_region_08
WI0099,Evansville PL,Eager Free Public Library,public_library,39,W,Main,St,,,Evansville,WI,53536,US,Rock,42.78001,-89.3009336,,Arrowhead Library System,ALS,7,3,4,3,3,3,2,3,2,2,3,,,3,3,FALSE,FALSE,TRUE,TRUE,TRUE,,,"(42.78001, -89.3009336)",ideal_region_06,starter_region_08
SCH015,Evansville SD,Evansville Community School District,school,340,,Fair,St,,,Evansville,WI,53536,US,Rock,42.77306249999999,-89.30768750000001,"QMFR+6W Evansville, Wisconsin",Arrowhead Library System,ALS,7,1,1,,,,,,,,,,,1,1,TRUE,FALSE,FALSE,TRUE,TRUE,,,"(42.77306249999999, -89.30768750000001)",ideal_region_06,starter_region_08
WI0142,Janesville PL,Hedberg Public Library,public_library,316,S,Main,St,,,Janesville,WI,53545,US,Rock,42.6791323,-89.01897869999999,,Arrowhead Library System,ALS,7,18,17,9,11,9,12,9,11,9,8,,,12,11,FALSE,FALSE,TRUE,TRUE,TRUE,,,"(42.6791323, -89.01897869999999)",ideal_region_06,starter_region_08
WI0142-003,Janesville PL - BKM,Hedberg Public Library Bookmobile,outreach_service,316,S,Main,St,,,Janesville,WI,53545,US,Rock,42.6791323,-89.01897869999999,,Arrowhead Library System,ALS,7,1,1,,,,,,,,,,,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,,,"(42.6791323, -89.01897869999999)",ideal_region_06,starter_region_08
WI0142-002,Janesville PL - XP,Hedberg Public Library Express,outreach_service,2500,,Milton,Ave,,Unit 120,Janesville,WI,53545,US,Rock,42.7106854,-88.99972509999999,,Arrowhead Library System,ALS,7,1,1,1,1,1,1,1,1,1,1,,,1,1,TRUE,FALSE,TRUE,TRUE,TRUE,,,"(42.7106854, -88.99972509999999)",ideal_region_06,starter_region_08
WI0198,Milton PL,Milton Public Library,public_library,430,E,High,St,,# 100,Milton,WI,53563,US,Rock,42.7735095,-88.94400519999999,,Arrowhead Library System,ALS,7,4,5,4,5,3,2,3,4,3,4,,,4,4,FALSE,FALSE,TRUE,TRUE,TRUE,,,"(42.7735095, -88.94400519999999)",ideal_region_06,starter_region_08
WI0237,Orfordville PL,Orfordville Public Library,public_library,519,E,Beloit,St,,,Orfordville,WI,53576,US,Rock,42.6248851,-89.2491512,,Arrowhead Library System,ALS,7,2,3,1,3,1,3,1,4,1,2,,,3,2,FALSE,FALSE,TRUE,TRUE,TRUE,,,"(42.6248851, -89.2491512)",ideal_region_06,starter_region_08
SCH019,Parkview SD,Parkview School District,school,106,W,Church,St,,,Orfordville,WI,53576,US,Rock,42.6310683,-89.2560754,,Arrowhead Library System,ALS,7,1,1,,,,,,,,,,,1,1,TRUE,FALSE,TRUE,TRUE,TRUE,,,"(42.6310683, -89.2560754)",ideal_region_06,starter_region_08
WI0028,Big Bend PL,Big Bend Village Library,public_library,W230S9185,,Nevins,St,,,Big Bend,WI,53103,US,Waukesha,42.8777351,-88.20943079999999,,Bridges Library System,BLS,7,2,3,2,1,1,1,1,1,1,1,,,2,2,FALSE,FALSE,TRUE,TRUE,TRUE,,,"(42.8777351, -88.20943079999999)",ideal_region_07,starter_region_08
WI2400,Bridges LS,Bridges Library System,library_system,741,N,Grand,Ave,,Ste 210,Waukesha,WI,53186,US,Waukesha,43.0105315,-88.23130549999999,,Bridges Library System,BLS,7,4,3,,,6,6,3,4,3,3,,,4,4,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"(43.0105315, -88.23130549999999)",ideal_region_07,starter_region_08
WI0042,Brookfield PL,Brookfield Public Library,public_library,1900,N,Calhoun,Rd,,,Brookfield,WI,53005,US,Waukesha,43.0552458,-88.1250967,,Bridges Library System,BLS,7,19,23,19,18,13,16,13,15,10,13,,,17,15,FALSE,FALSE,TRUE,TRUE,TRUE,,,"(43.0552458, -88.1250967)",ideal_region_07,starter_region_08
WI0046,Butler PL,Butler Public Library,public_library,12808,W,Hampton,Ave,,,Butler,WI,53007,US,Waukesha,43.1051531,-88.07229579999999,,Bridges Library System,BLS,7,4,3,3,4,2,4,2,1,3,1,,,3,3,FALSE,FALSE,TRUE,TRUE,TRUE,,,"(43.1051531, -88.07229579999999)",ideal_region_07,starter_region_08
WI0079,Delafield PL,Delafield Public Library,public_library,500,,Genesee,St,,,Delafield,WI,53018,US,Waukesha,43.0591104,-88.40381479999999,,Bridges Library System,BLS,7,9,14,12,20,8,8,8,7,8,9,,,12,9,FALSE,FALSE,TRUE,TRUE,TRUE,,,"(43.0591104, -88.40381479999999)",ideal_region_07,starter_region_08
WI0087,Eagle PL,Alice Baker Memorial Public Library,public_library,820,E,Main,St,,,Eagle,WI,53119,US,Waukesha,42.8794446,-88.46150800000001,,Bridges Library System,BLS,7,4,4,3,3,4,1,3,3,2,1,,,3,4,FALSE,FALSE,TRUE,TRUE,TRUE,,,"(42.8794446, -88.46150800000001)",ideal_region_07,starter_region_08
WI0095,Elm Grove PL,Elm Grove Public Library,public_library,13600,,Juneau,Blvd,,,Elm Grove,WI,53122,US,Waukesha,43.0466657,-88.0828403,,Bridges Library System,BLS,7,7,10,8,8,5,7,5,5,6,8,,,8,7,FALSE,FALSE,TRUE,TRUE,TRUE,,,"(43.0466657, -88.0828403)",ideal_region_07,starter_region_08
WI0105,Fort Atkinson PL,Dwight Foster Public Library,public_library,209,,Merchants,Ave,,,Fort Atkinson,WI,53538,US,Jefferson,42.9262907,-88.8353781,,Bridges Library System,BLS,7,7,9,11,6,7,7,7,6,5,5,,,7,8,FALSE,FALSE,TRUE,TRUE,TRUE,,,"(42.9262907, -88.8353781)",ideal_region_07,starter_region_08
WI0130,Hartland PL,Hartland Public Library,public_library,110,E,Park,Ave,,,Hartland,WI,53029,US,Waukesha,43.1035287,-88.3470806,,Bridges Library System,BLS,7,6,15,10,16,8,17,7,12,8,12,,,15,8,FALSE,FALSE,TRUE,TRUE,TRUE,,,"(43.1035287, -88.3470806)",ideal_region_07,starter_region_08
WI0143,Jefferson PL,Jefferson Public Library,public_library,321,S,Main,St,,,Jefferson,WI,53549,US,Jefferson,43.0030548,-88.8079143,,Bridges Library System,BLS,7,3,7,5,4,3,5,2,4,3,3,,,5,4,FALSE,FALSE,TRUE,TRUE,TRUE,,,"(43.0030548, -88.8079143)",ideal_region_07,starter_region_08
WI0144,Johnson Creek PL,Johnson Creek Public Library,public_library,125,,Lincoln,St,,,Johnson Creek,WI,53038,US,Jefferson,43.0778203,-88.7751435,,Bridges Library System,BLS,7,2,2,4,2,2,2,1,2,1,2,,,2,2,FALSE,FALSE,TRUE,TRUE,TRUE,,,"(43.0778203, -88.7751435)",ideal_region_07,starter_region_08
WI0163,Lake Mills PL,L.D. Fargo Public Library,public_library,120,E,Madison,St,,,Lake Mills,WI,53551,US,Jefferson,43.080966,-88.91058579999999,,Bridges Library System,BLS,7,4,8,5,6,4,3,4,4,4,4,,,5,5,FALSE,FALSE,TRUE,TRUE,TRUE,,,"(43.080966, -88.91058579999999)",ideal_region_07,starter_region_08
WI0191,Menomonee Falls PL,Menomonee Falls Public Library,public_library,W156N8436,,Pilgrim,Rd,,,Menomonee Falls,WI,53051,US,Waukesha,43.1713108,-88.10153969999999,,Bridges Library System,BLS,7,10,19,13,19,10,11,9,12,9,12,,,15,11,FALSE,FALSE,TRUE,TRUE,TRUE,,,"(43.1713108, -88.10153969999999)",ideal_region_07,starter_region_08
WI0396,Mukwonago PL,Mukwonago Community Library,public_library,511,,Division,St,,,Mukwonago,WI,53149,US,Waukesha,42.8679116,-88.3314958,,Bridges Library System,BLS,7,11,11,10,11,9,8,6,7,7,8,,,9,9,FALSE,FALSE,TRUE,TRUE,TRUE,,,"(42.8679116, -88.3314958)",ideal_region_07,starter_region_08
WI0212,Muskego PL,Muskego Public Library,public_library,S73W16663,,Janesville,Rd,,,Muskego,WI,53150,US,Waukesha,42.9094708,-88.12227480000001,,Bridges Library System,BLS,7,9,16,11,11,8,10,7,9,9,8,,,11,9,FALSE,FALSE,TRUE,TRUE,TRUE,,,"(42.9094708, -88.12227480000001)",ideal_region_07,starter_region_08
WI0218,New Berlin PL,New Berlin Public Library,public_library,15105,,Library,Ln,,,New Berlin,WI,53151,US,Waukesha,42.9791187,-88.1012949,,Bridges Library System,BLS,7,12,19,15,17,10,16,9,12,8,11,,,15,11,FALSE,FALSE,TRUE,TRUE,TRUE,,,"(42.9791187, -88.1012949)",ideal_region_07,starter_region_08
WI0226,North Lake PL,Town Hall Library,public_library,N76W31429,,Hwy VV,,,,North Lake,WI,53064,US,Waukesha,43.1576157,-88.36928119999999,,Bridges Library System,BLS,7,5,6,4,3,4,5,3,3,4,2,,,4,4,FALSE,FALSE,TRUE,TRUE,TRUE,,,"(43.1576157, -88.36928119999999)",ideal_region_07,starter_region_08
WI0229,Oconomowoc PL,Oconomowoc Public Library,public_library,200,W,South,St,,,Oconomowoc,WI,53066,US,Waukesha,43.11080889999999,-88.50220399999999,,Bridges Library System,BLS,7,8,15,12,12,9,13,7,11,7,9,,,12,9,FALSE,FALSE,TRUE,TRUE,TRUE,,,"(43.11080889999999, -88.50220399999999)",ideal_region_07,starter_region_08
WI0397,Palmyra PL,Powers Memorial Library,public_library,115,W,Main,St,,,Palmyra,WI,53156,US,Jefferson,42.8780037,-88.58474389999999,,Bridges Library System,BLS,7,2,1,2,2,2,2,1,2,1,1,,,2,2,FALSE,FALSE,TRUE,TRUE,TRUE,,,"(42.8780037, -88.58474389999999)",ideal_region_07,starter_region_08
WI0421,Pewaukee PL,Pewaukee Public Library,public_library,210,,Main,St,,,Pewaukee,WI,53072,US,Waukesha,43.0795264,-88.261251,,Bridges Library System,BLS,7,8,14,11,13,8,12,9,17,8,16,,,15,9,FALSE,FALSE,TRUE,TRUE,TRUE,,,"(43.0795264, -88.261251)",ideal_region_07,starter_region_08
WI0408,Sussex PL,Pauline Haass Public Library,public_library,N64W23820,,Main,St,,,Sussex,WI,53089,US,Waukesha,43.1344351,-88.2207079,,Bridges Library System,BLS,7,9,15,12,11,10,14,8,10,7,8,,,12,10,FALSE,FALSE,TRUE,TRUE,TRUE,,,"(43.1344351, -88.2207079)",ideal_region_07,starter_region_08
WI0335,Waterloo PL,Karl Junginger Memorial Library,public_library,625,N,Monroe,St,,,Waterloo,WI,53594,US,Jefferson,43.1900303,-88.9909637,,Bridges Library System,BLS,7,2,4,4,4,2,2,2,2,2,2,,,3,3,FALSE,FALSE,TRUE,TRUE,TRUE,,,"(43.1900303, -88.9909637)",ideal_region_07,starter_region_08
WI0336,Watertown PL,Watertown Public Library,public_library,100,S,Water,St,,,Watertown,WI,53094,US,Jefferson,43.1942087,-88.7264244,,Bridges Library System,BLS,7,6,15,11,8,9,8,10,7,8,7,,,9,9,FALSE,FALSE,TRUE,TRUE,TRUE,,,"(43.1942087, -88.7264244)",ideal_region_07,starter_region_08
WITC240,Waukesha County TC,Waukesha County Technical College,wi_tech_college,800,,Main,St,,,Pewaukee,WI,53072,US,Waukesha,43.0725256,-88.2544838,,Bridges Library System,BLS,7,1,1,1,1,1,1,1,1,1,1,,,1,1,TRUE,FALSE,TRUE,TRUE,TRUE,,,"(43.0725256, -88.2544838)",ideal_region_07,starter_region_08
WI0337,Waukesha PL,Waukesha Public Library,public_library,321,,Wisconsin,Ave,,,Waukesha,WI,53186,US,Waukesha,43.0087023,-88.2328063,,Bridges Library System,BLS,7,26,31,21,19,20,24,20,17,20,17,,,22,22,FALSE,FALSE,TRUE,TRUE,TRUE,,,"(43.0087023, -88.2328063)",ideal_region_07,starter_region_08
WI0352,Whitewater PL,Irvin L. Young Memorial Library,public_library,431,W,Center,St,,,Whitewater,WI,53190,US,Jefferson,42.8328461,-88.736093,,Bridges Library System,BLS,7,6,8,7,6,6,6,5,5,4,5,,,6,6,FALSE,FALSE,TRUE,TRUE,TRUE,,,"(42.8328461, -88.736093)",ideal_region_07,starter_region_08
WI0006,Altoona PL,Altoona Public Library,public_library,1303,,Lynn,Ave,,,Altoona,WI,54720,US,Eau Claire,44.8061218,-91.4332763,,IFLS Library System,IFLS,7,5,6,5,9,3,10,7,5,7,5,,,7,6,FALSE,FALSE,TRUE,TRUE,TRUE,,,"(44.8061218, -91.4332763)",ideal_region_01,starter_region_02
WI0007,Amery PL,Amery Public Library,public_library,225,,Scholl,Ct,,,Amery,WI,54001,US,Polk,45.3027275,-92.3664295,,IFLS Library System,IFLS,7,,,7,9,7,4,6,4,6,3,,,5,7,FALSE,FALSE,TRUE,TRUE,TRUE,,,"(45.3027275, -92.3664295)",ideal_region_01,starter_region_02
WI0015,Augusta PL,Augusta Memorial Public Library,public_library,113,N,Stone,St,,,Augusta,WI,54722,US,Eau Claire,44.6798866,-91.1198356,,IFLS Library System,IFLS,7,,,4,5,4,3,,,5,4,,,4,5,FALSE,FALSE,TRUE,TRUE,TRUE,,,"(44.6798866, -91.1198356)",ideal_region_01,starter_region_02
WI0016,Baldwin PL,Baldwin Public Library,public_library,400,,Cedar,St,,,Baldwin,WI,54002,US,St. Croix,44.9566458,-92.3683284,,IFLS Library System,IFLS,7,4,5,4,6,,,9,8,4,3,,,6,6,FALSE,FALSE,TRUE,TRUE,TRUE,,,"(44.9566458, -92.3683284)",ideal_region_01,starter_region_02
WI0017,Balsam Lake PL,Balsam Lake Public Library,public_library,404,,Main,St,,,Balsam Lake,WI,54810,US,Polk,45.4497899,-92.4525581,,IFLS Library System,IFLS,7,,,2,5,2,1,,,4,4,,,4,3,FALSE,FALSE,TRUE,TRUE,TRUE,,,"(45.4497899, -92.4525581)",ideal_region_01,starter_region_02
